// J23 1304

'cause [ˈkɔːz]
mascara [mæ'ska:rə]
mascot ['mæskət]
masculine ['ma:skjʋlin]
masculinity [.mæskjʋ'linəti]
masher ['mæʃə]
mask [ma:sk]
masked [ma:skt]
masker ['ma:skə]
mason [meis°n]
Masonic [mə'sɒnik]
masonry ['meisənri]
masque [ma:sk]
masquer ['ma:skə]
masquerade [.mæskə'reid]
masquerader [.mæskə'reidə]
mass media [.mæs'mi:diə]
massacre ['mæsəkə]
massage ['mæsa:ʒ]
masseur [mæ'sз:]
masseuse [mæ'sз:z]
massicot ['mæsikət]
massif ['mæsi:f]
massive ['mæsiv]
massiveness ['mæsivnəs]
massless ['mæsləs]
massy ['mæsi]
mast-head ['ma:sthed]
master ['ma:stə]
master-key ['ma:stəki:]
master-stroke ['ma:stəstrəʋk]
masterdom ['ma:stədəm]
masterful ['ma:stəf°l]
masterfulness ['ma:stəfəlnəs]
masterly ['ma:stəli]
masterpiece ['ma:stəpi:s]
mastership ['ma:stəʃip]
mastery ['ma:stəri]
mastic ['mæstik]
masticate ['mæstikeit]
mastication [.mæsti'keiʃ°n]
masticatory ['mæstikətəri]
mastiff ['mæstif]
mastitis [mæ'staitis]
mastless ['ma:stləs]
mastodon ['mæstədɒn]
masturbation [.mæstə'beiʃ°n]
matador ['mætədз:]
match-board ['mæʧbɔ:d]
match-box ['mæʧbɒks]
match-making ['mæʧmeikiŋ]
matchbook ['mæʧbʋk]
matching ['mæʧiŋ]
matchless ['mæʧləs]
matchstick ['mæʧ.stik]
matchwood ['mæʧwʋd]
mateless ['meitləs]
material [mə'tiəriəl]
materialism [mə'tiəriəliz°m]
materialist [mə'tiəriəlist]
materialistic [mə.tiəriə'listik]
materiality [mə.tiəri'æləti]
materialization [mə.tiəriəlai'zeiʃ°n]
materialize [mə'tiəriəlaiz]
materiel [mə.tiəri'el]
maternal [mə'tз:n°l]
maternity [mə'tз:nəti]
matey ['meiti]
math [mæθ]
mathematical [.mæθə'mætik°l]
mathematician [.mæθəmə'tiʃ°n]
mathematics [.mæθə'mætiks]
maths [mæθs]
matin ['mætin]
matinee ['mætinei]
matriarchy ['meitria:ki]
matrices ['meitrisi:z]
matricide ['meitrisaid]
matriculate [mə'trikjʋleit]
matriculation [mə.trikjʋ'leiʃ°n]
matrimonial [.mætri'məʋniəl]
matrimony ['mætriməni]
matrix ['meitriks]
matron ['meitrən]
matronal ['meitrən°l]
matronly ['meitrənli]
matt [mæt]
matter ['mætə]
matter-of-course [.mætərəv'kɔ:s]
matter-of-fact [.mætərəv'fækt]
matting ['mætiŋ]
mattock ['mætək]
mattress ['mætrəs]
maturate ['mæʧʋreit]
maturation [.mæʧʋ'reiʃ°n]
mature student [mə.tjʋə 'stju:dənt]
mature [mə'ʧʋə]
maturity [mə'ʧʋərəti]
matutinal [.mætjʋ'tain°l]
maud [mɔ:d]
maudlin ['mɔ:dlin]
maul [mɔ:l]
mauler ['mɔ:lə]
maulstick ['mɔ:lstik]
maunder ['mɔ:ndə]
maundy ['mɔ:ndi]
Mauser ['maʋzə]
mausoleum [.mɔ:sə'li:əm]
mauve [məʋv]
maverick ['mævərik]
mavin ['meivin]
maw [mɔ:]
mawkish ['mɔ:kiʃ]
mawkishness ['mɔ:kiʃnəs]
mawworm ['mɔ:wз:m]
maxi ['mæksi]
maxidress ['mæksi.dres]
maxilla [mæk'silə]
maxillary [mæk'siləri]
maxim ['mæksim]
maximize ['mæksimaiz]
maximum ['mæksiməm]
maxwell ['mækswəl]
may ['mei]
May-bug ['meibʌg]
may-fly ['meiflai]
maybe ['meibi]
mayday ['meidei]
mayhem ['meihem]
Maying ['meiiŋ]
mayonnaise [.meiə'neiz]
mayor [meə]
mayoral ['meərəl]
mayoralty ['meərəlti]
mayoress [.meər'es]
maypole ['meipəʋl]
mayweed ['meiwi:d]
mazarine [.mæzə'ri:n]
maze [meiz]
mazer ['meizə]
mazy ['meizi]
me [mi:]
mead [mi:d]
meadow ['medəʋ]
meadowy ['medəʋi]
meagre ['mi:gə]
meagreness ['mi:gənəs]
mealiness ['mi:linəs]
mealtime ['mi:ltaim]
mealy ['mi:li]
mealy-bug ['mi:libʌg]
mealy-mouthed [.mi:li'maʋðd]
mean-spirited [.mi:n'spiritid]
meander [mi'ændə]
meaning ['mi:niŋ]
meaningful ['mi:niŋf°l]
meaningless ['mi:niŋləs]
meaninglessness ['mi:niŋləsnəs]
meaningly ['mi:niŋli]
meanness ['mi:nnəs]
means [mi:nz]
meant [ment]
meanwhile ['mi:nwail]
measles [mi:z°lz]
measly ['mi:zli]
measurable ['meʒ°rəb°l]
measure ['meʒə]
measured ['meʒəd]
measureless ['meʒələs]
measurement ['meʒəmənt]
meat [mi:t]
meat-chopper ['mi:t.ʧɒpə]
meat-grinder ['mi:t.graində]
meat-offering ['mi:t.ɒfəriŋ]
meat-safe ['mi:ʧeif]
meatiness ['mi:tinəs]
meatless ['mi:tləs]
meaty ['mi:ti]
meccano [mi'ka:nəʋ]
mechanic [mi'kænik]
mechanical [mi'kænik°l]
mechanician [.mekə'niʃ°n]
mechanics [mi'kæniks]
mechanism ['mekəniz°m]
mechanistic [.mekə'nistik]
mechanization [.mekənai'zeiʃ°n]
mechanize ['mekənaiz]
Mechlin ['meklin]
medal [med°l]
medalet ['medəlit]
medalled [med°ld]
medallion [mə'dæliən]
medallist ['med°list]
meddle [med°l]
meddler ['med°lə]
meddlesome ['med°ls°m]
mediaeval [.medi'i:v°l]
mediagenic [.mi:diə'ʤenik]
medial ['mi:diəl]
median ['mi:diən]
mediateI adj ['mi:diit]
mediation [.mi:di'eiʃ°n]
mediator ['mi:dieitə]
mediatorial [.mi:diə'tɔ:riəl]
mediatory ['mi:diətəri]
mediatrix ['mi:dieitriks]
medicable ['medikəb°l]
medicaid ['medikeid]
medical ['medik°l]
medicament [mə'dikəmənt]
medicamentary [.medikə'mentəri]
medicare ['medikeə]
medicate ['medikeit]
medication [.medi'keiʃ°n]
medicative ['medikətiv]
medicinal [mə'dis°nəl]
medicine chest ['med°s°n ʧest]
medicine dropper ['med°s°n-.drɒpə]
medicine glass ['med°s°ngla:s]
medicine [med°s°n]
medicine-man ['med°s°nmæn]
medico ['medikəʋ]
medieval [.medi'i:v°l]
medievalism [.medi'i:və.liz°m]
medievalist [.medi'i:və.list]
mediocre [.mi:di'əʋkə]
mediocrity [.mi:di'ɒkrəti]
meditate ['mediteit]
meditation [.medi'teiʃ°n]
meditative ['meditətiv]
meditativeness ['meditətivnəs]
meditator ['mediteitə]
mediterranean [.meditə'reiniən]
medium ['mi:diəm]
medium-sized ['mi:diəm .saizd]
medlar ['medlə]
medley ['medli]
medulla [me'dʌlə]
medullary [me'dʌləri]
medusa [mə'dju:zə]
meek [mi:k]
meekness ['mi:knəs]
meerschaum ['miəʃəm]
meet [mi:t]
meeting ['mi:tiŋ]
meeting-house ['mi:tiŋhaʋs]
meetness ['mi:tnəs]
megabit ['megəbit]
megabuck ['megəbʌk]
megabyte ['megəbait]
megacity ['megə.siti]
megadestruction [.megədi'strʌk-ʃ°n]
megadose ['megədəʋs]
megalithic [.megə'liθik]
megalomania [.megələʋ'meiniə]
megalopolis [.megə'lɒpəlis]
megaphone ['megəfəʋn]
megaseism ['megəsaiz°m]
megatanker ['megə.tæŋkə]
megatechnics [.megə'tekniks]
megatonnage ['megə.tɒniʤ]
megilp [mə'gilp]
megrim ['mi:grim]
melancholia [.melən'kəʋliə]
melancholic [.melən'kɒlik]
melancholy ['melənkəli]
melanesian [.melə'ni:ʒən]
melange [mei'la:nʒ]
melanin ['melənin]
melanochroic [.melənə'krəʋik]
meld [meld]
melee ['melei]
meliorate ['mi:liəreit]
melioration [.mi:liə'reiʃ°n]
meliorative ['mi:liərətiv]
melliferous [mə'lifərəs]
mellifluence [mə'liflʋəns]
mellifluent [mə'liflʋənt]
mellifluous [mə'liflʋəs]
mellow ['meləʋ]
mellowness ['meləʋnəs]
melodic [mə'lɒdik]
melodious [mə'ləʋdiəs]
melodiousness [mi'ləʋdiəsnəs]
melodist ['melədist]
melodize ['melədaiz]
melodrama ['melə.dra:mə]
melodramatic [.melədrə'mætik]
melody ['melədi]
melon ['melən]
melt [melt]
meltdown ['melt.daʋn]
melting point ['meltiŋpɔint]
melting ['meltiŋ]
melting-pot ['meltiŋpɒt]
melton ['meltən]
member ['membə]
membership ['membəʃip]
membrane ['membrein]
membraneous, membranous ['membreinəs, 'membrənəs]
memento [mə'mentəʋ]
memo ['meməʋ]
memoir ['mem.wa:]
memoirist ['memwa:rist]
memorability [.memərə'biləti]
memorable ['memərəb°l]
memorandum [.memə'rændəm]
memorial [mə'mɔ:riəl]
memorialist [mə'mɔ:riəlist]
memorialize [mə'mɔ:riəlaiz]
memorization [.memərai'zeiʃ°n]
memorize ['meməraiz]
memory ['meməri]
men [men]
men-at-arms [.menət'a:mz]
men-of-war [.menəv'wɔ:]
menace ['menəs]
menage [me'na:ʒ]
menagerie [mi'næʤəri]
mend [mend]
mendable ['mendəb°l]
mendacious [men'deiʃəs]
mendacity [men'dæsəti]
mendelian [men'di:liən]
mender ['mendə]
mendicancy ['mendikənsi]
mendicant ['mendikənt]
mendicity [men'disəti]
meningitis [.menin'ʤaitis]
meniscus [mə'niskəs]
menopause ['menəʋpɔ:z]
menorah [mi'nɔ:rə]
mensal ['mensəl]
menses ['mensi:z]
menstrua ['menstrʋə]
menstrual ['menstrʋəl]
menstruate ['menstrʋeit]
menstruation [.menstrʋ'eiʃ°n]
menstruum ['menstrʋəm]
mensurable ['menʃərəb°l]
mensural ['menʃərəl]
mensuration [.menʃə'reiʃ°n]
mentality [men'tæləti]
mentally ['mentəli]
mentation [men'teiʃ°n]
menthol ['menθɒl]
menticide ['mentisaid]
menticultural [.menti'kʌlʧərəl]
menticulture ['menti.kʌlʧə]
mention [menʃ°n]
mentionable ['menʃənəb°l]
mentor ['mentɔ:]
menu ['menju:]
Mephistophelean [.mefistə'fi:liən]
mephitis [mi'faitis]
mercantile ['mз:kəntail]
mercantilism ['mз:kəntailiz°m]
mercenariness ['mз:sənərinəs]
mercenary ['mз:snəri]
mercer ['mз:sə]
mercerize ['mз:səraiz]
mercery ['mз:səri]
merchandise ['mз:ʧəndaiz]
merchant ['mз:ʧənt]
merchantable ['mз:ʧəntəb°l]
merchantman ['mз:ʧəntmən]
merciful ['mз:sif°l]
mercifulness ['mз:sifəlnəs]
merciless ['mз:siləs]
mercilessness ['mз:siləsnəs]
mercurial [mз:'kjʋəriəl]
mercuriality [.mз:kjʋəri'æləti]
mercurialize [mз:'kjʋəriəlaiz]
Mercury ['mз:kjʋri]
Mercy ['mз:si]
mere [miə]
merely ['miəli]
meretricious [.merə'triʃəs]
merganser [mз:'gænsə]
merge [mз:ʤ]
merger ['mз:ʤə]
meridian [mə'ridiən]
meringue [mə'ræŋ]
merino [mə'ri:nəʋ]
merit ['merit]
meritorious [.meri'tɔ:riəs]
merlin ['mз:lin]
merlon ['mз:lən]
mermaid ['mз:meid]
merman ['mз:mæn]
merriment ['merimənt]
merry dancers ['merida:nsəz]
merry-go-round ['merigəʋ.raʋnd]
merry-making ['meri.meikiŋ]
merry-meeting ['meri.mi:tiŋ]
mesa ['meisə]
mescaline ['meskəli:n]
mesentery ['mesəntəri]
mesh [meʃ]
meshy ['meʃi]
mesial ['mi:ziəl]
mesmeric [mez'merik]
mesmerism ['mezmə.riz°m]
mesmerist ['mezmərist]
mesmerize ['mezməraiz]
mesosphere ['mesəʋsfiə]
mesquite ['meski:t]
mess jacket ['mes.ʤækit]
message ['mesiʤ]
messenger ['mes°nʤə]
Messiah [mə'saiə]
Messieurs [mei'sjз:z]
messmate ['mesmeit]
Messrs ['mesəz]
messy ['mesi]
mestizo [me'sti:zəʋ]
met [met]
metabolic [.metə'bɒlik]
metabolism [mə'tæbə.liz°m]
metabolite [mə'tæbəlait]
metacarpus [.metə'ka:pəs]
metal [met°l]
metallic [me'tælik]
metallicity [.metə'lisəti]
metalliferous [.metə'lifərəs]
metalline ['metəlain]
metallize ['metə.laiz]
metallography [.metə'lɒgrəfi]
metalloid ['metə.lɔid]
metallurgical [.metə'lз:ʤik°l]
metallurgist [me'tæləʤist]
metallurgy [me'tæləʤi]
metalware ['met°lweə]
metalwork ['met°lwз:k]
metalworker ['met°l.wз:kə]
metamorphose [.metə'mɔ:fəʋz]
metamorphosis [.metə'mɔ:fəsis]
metaphor ['metəfə]
metaphorical [.metə'fɒrik°l]
metaphrase ['metəfreiz]
metaphrastic [.metə'fræstik]
metaphysical [.metə'fizik°l]
metaphysician [.metəfi'ziʃ°n]
metaphysics [.metə'fiziks]
metastasis [me'tæstəsis]
metatarsus [.metə'ta:səs]
metathesis [me'tæθəsis]
mete-wand ['mi:twɒnd]
meteor ['mi:tiə]
meteoric [.mi:ti'ɒrik]
meteorite ['mi:tiərait]
meteorological [.mi:tiərə'lɒʤik°l]
meteorology [.mi:tiə'rɒləʤi]
meter ['mi:tə]
meterage ['mi:təriʤ]
methane ['mi:θein]
methanol ['meθənɒl]
methionine [mi'θaiənain]
method ['meθəd]
methodical [mə'θɒdik°l]
methodist ['meθədist]
methodize ['meθədaiz]
methodless ['meθədləs]
methodology [.meθə'dɒləʤi]
meths [meθs]
methyl [mi:θail]
methylate ['miθaileit]
meticulous [mə'tikjʋləs]
metonymy [me'tɒnəmi]
metope ['metəʋp]
metre ['mi:tə]
metric ['metrik]
metrical ['metrik°l]
metrication [.metri'keiʃ°n]
metrician [mi'triʃ°n]
metrics ['metriks]
metro ['metrəʋ]
metrology [mi'trɒləʤi]
metronome ['metrənəʋm]
metronymic [.metrəʋ'nimik]
metropolis [mə'trɒpəlis]
metropolitan [.metrə'pɒlitən]
mettle [met°l]
mettled [met°ld]
mettlesome ['met°ls°m]
mewl [mju:l]
Mexican ['meksikən]
mezzanine ['metsəni:n]
mho [məʋ]
miaow [mi'aʋ]
miasma [mi'æzmə]
mica ['maikə]
mice [mais]
Michaelmas ['mik°lməs]
mickle ['mik°l]
micro ['maikrəʋ]
microbe ['maikrəʋb]
microbiology [.maikrəʋbai'ɒləʤi]
microblade ['maikrəʋbleid]
microcamera [.maikrəʋ'kæmərə]
microcassette [.maikrəʋkə'set]
microchip ['maikrəʋ.ʧip]
microcirculation ['maikrəʋ.sз:kjʋ-'leiʃ°n]
microcopy ['maikrəʋ.kɒpi]
microcosm ['maikrəʋkɒz°m]
microcrystal ['maikrəʋ.krist°l]
microcrystalline [.maikrəʋ'kristə-lain]
microculture ['maikrəʋ.kʌlʧə]
microdevice [.maikrəʋdi'vais]
microdistribution ['maikrəʋ.distri'bju:ʃ°n]
microdot ['maikrəʋdɒt]
microecology [.maikrəʋi'kɒləʤi]
microeconomics ['maikrəʋ.ekə'nɒ-miks]
microfilm ['maikrəʋ.film]
microform ['maikrəʋfɔ:m]
micrograph ['maikrəʋgra:f]
micrographics [.maikrəʋ'græfiks]
micrography [mai'krɒgrəfi]
microinch ['maikrəʋinʧ]
micrometer [mai'krɒmitə]
micron ['maikrɒn]
micronutrient [.maikrəʋ'nju:triənt]
microphone ['maikrəfəʋn]
microphonograph [.maikrəʋ'fəʋnə-gra:f]
microphony ['maikrəfəʋni]
microphotography [.maikrəʋfə'tɒ-grəfi]
microphysics [.maikrəʋ'fiziks]
microprocessor ['maikrəʋ.prəʋsesə]
microquake ['maikrəʋkweik]
microsample [.maikrəʋ'sa:mp°l]
microscope ['maikrəskəʋp]
microscopic(al) [.maikrə'skɒpik°l]
microsection [.maikrəʋ'sekʃ°n]
microseism ['maikrə.saiz°m]
microstatistics [.maikrəʋstə'tistiks]
microstructure [.maikrəʋ'strʌkʧə]
microsurgeon [.maikrəʋ'sз:ʤ°n]
microtechnology [.maikrəʋtek'nɒ-ləʤi]
microterminal [.maikrəʋ'tз:minəl]
microtexture ['maikrəʋ.teksʧə]
microvascular [.maikrəʋ'væskjʋlə]
microwave ['maikrəweiv]
microworld ['maikrəʋwз:ld]
micturition [.miktjʋə'riʃ°n]
mid [mid]
midair [.mid'eər]
midcourse [.mid'kɔ:s]
midday [.mid'dei]
midden [mid°n]
Middle Ages [.mid°l 'eiʤiz]
middle name [.mid°l 'neim]
middle school ['mid°l sku:l]
middle weight ['mid°l weit]
middle [mid°l]
middle-aged [.mid°l'eiʤd]
middlebrow ['mid°l.braʋ]
middleman ['mid°l.mæn]
middlemost ['mid°l.məʋst]
middling ['midliŋ]
middlings ['midliŋz]
middy ['midi]
midge [miʤ]
midget ['miʤit]
midgety ['miʤiti]
midland ['midlənd]
midline ['midlain]
midmost ['midməʋst]
midnight ['midnait]
midpoint ['midpɔint]
midrib ['midrib]
midriff ['midrif]
midship ['midʃip]
midshipman ['midʃipmən]
midships ['midʃips]
midst [midst]
midsummer [.mid'sʌmə]
midterm [.mid'tз:m]
midway [.mid'wei]
midweek [.mid'wi:k]
midwife ['midwaif]
midwifery [.mid'wifəri]
midwinter [.mid'wintə]
mien [mi:n]
miff [mif]
might've ['maitəv]
might-have-been ['maitəvbi:n]
mightily ['maitili]
mightiness ['maitinəs]
mighty ['maiti]
mignon ['minjɒŋ]
mignonette [.minjə'net]
migraine ['mi:grein]
migrant ['maigrənt]
migrate [mai'greit]
migration [mai'greiʃ°n]
migratory ['maigrətəri]
mikado [mi'ka:dəʋ]
milady [mi'leidi]
milage ['mailiʤ]
Milanese [.milə'ni:z]
milch [milʧ]
mild [maild]
mild-cured [.maild'kjʋəd]
mildew ['mildju:]
mildewy ['mildju:i]
mildness ['maildnəs]
mile [mail]
mileage ['mailiʤ]
milepost ['mailpəʋst]
milestone ['mailstəʋn]
milfoil ['milfɔil]
milieu ['miljз:]
militancy ['militənsi]
militant ['militənt]
militarily ['militrəli]
militarism ['militəriz°m]
militarist ['militərist]
militaristic [.militə'ristik]
militarization [.militərai'zeiʃ°n]
militarize ['militəraiz]
military ['militəri]
militate ['militeit]
milk sugar ['milk.ʃʋgə]
milk [milk]
milk-brother ['milk.brʌðə]
milk-float ['milkfləʋt]
milk-gauge ['milkgeiʤ]
milk-livered ['milk.livəd]
milk-shake [.milk'ʃeik]
milk-white ['milkwait]
milker ['milkə]
milkiness ['milkinəs]
milkmaid ['milk.meid]
milkman ['milkmən]
milksop ['milksɒp]
milkweed ['milkwi:d]
milky ['milki]
mill cake ['milkeik]
mill wheel ['milwi:l]
mill [mil]
mill-hand ['milhænd]
millboard ['milbɔ:d]
millenary [mi'lenəri]
millennial [mi'leniəl]
millennium [mi'leniəm]
millepede ['milipi:d]
miller ['milə]
miller's thumb ['miləz.θɑm]
millesimal [mi'lesim°l]
millet ['milit]
milliard ['milia:d]
milligram(me) ['miligræm]
millilitre ['mili.'li:tə]
millimetre ['mili.mi:tə]
milliner ['milinə]
millinery ['milin°ri]
milling ['miliŋ]
million ['miljən]
millionaire [.miljə'neə]
millionth ['miljənθ]
millpond ['milpɒnd]
millrace ['milreis]
millstone ['milstəʋn]
milord [mi'lɔ:d]
milter ['miltə]
mime [maim]
mimesis [mi'mi:sis]
mimetic [mi'metik]
mimic ['mimik]
mimicry ['mimikri]
mimosa [mi'məʋzə]
minaret [.minə'ret]
minatory ['minətəri]
mince [mins]
mincemeat ['minsmi:t]
mincer ['minsə]
mincing machine ['minsiŋmə.ʃi:n]
mind [maind]
minded ['maindid]
minder ['maində]
mindful ['maindf°l]
mindless ['maindləs]
mindlessness ['maindləsnəs]
mine ['main]
minefield ['mainfi:ld]
miner ['mainə]
mineral water ['minr°l 'wɔ:tə]
mineral ['min°rəl]
mineralization [.minərəlai'zeiʃ°n]
mineralize ['min°rəlaiz]
mineralogist [.minə'ræləʤist]
mineralogy [.minə'ræləʤi]
minethrower ['main.θrəʋə]
minever ['minivə]
mingle [miŋg°l]
mingle-mangle [.miŋg°l'mæŋg°l]
mini ['mini]nми ни-miniature ['minəʧə]
miniaturist ['minəʧərist]
minibike ['minibaik]
minibus ['mini.bʌs]
minicar ['minika:]
minicell ['minisel]
minicomputer ['minikəm.pju:tə]
minikin ['minikin]
minim ['minim]
minimal ['minim°l]
minimalist ['miniməlist]
minimize ['minimaiz]
minimum ['miniməm]
mining ['mainiŋ]
minion ['minjən]
minister ['ministə]
ministerial [.mini'stiəriəl]
ministerialist [.mini'stiəriəlist]
ministration [.mini'streiʃ°n]
ministry ['ministri]
miniver ['minivə]
mink [miŋk]
minnesinger ['mini.siŋə]
minnow ['minəʋ]
minor ['mainə]
Minorca [mi'nɔ:kə]
Minorite ['mainərait]
minority [mai'nɒrəti]
minster ['minstə]
minstrel ['minstrəl]
minstrelsy ['minstrəlsi]
mintage ['mintiʤ]
minter ['mintə]
minuend ['minjʋend]
minuet [minjʋ'et]
minus ['mainəs]
minuscule ['minəskju:l]
minute-book ['minitbʋk]
minute-glass ['minitgla:s]
minute-guns ['minitgʌnz]
minute-hand ['minithænd]
minute-man ['minitmæn]
minutiae [mai'nju:ʃii:]
minx [miŋks]
miracle ['mirək°l]
miraculous [mi'rækjʋləs]
mirage ['mira:ʒ]
mire ['maiə]
mirk [mз:k]
mirror ['mirə]
mirrorwise ['mirəwaiz]
mirth [mз:θ]
mirthful ['mз:θf°l]
mirthless ['mз:θləs]
miry ['mairi]
mis- [mis-]
misadvise [.misəd'vaiz]
misalliance [.misə'laiəns]
misanthrope ['misnθrəʋp]
misanthropy [mis'ænθrəpi]
misapplication [.misæpli'keiʃ°n]
misapply [.misə'plai]
misapprehend [.misæpri'hend]
misapprehension [.misæpri'hen-ʃ°n]
misapprehensive [.misæpri'hensiv]
misappropriate [.misə'prəʋprieit]
misappropriation [.misəprəʋpri'-eiʃ°n]
misarrangement [.misə'reinʤmənt]
misbecame [.misbi'keim]
misbecome [.misbi'kʌm]
misbegotten [.misbi'gɒt°n]
misbehave [.misbi'heiv]
misbehaviour [.misbi'heivjə]
misbelief [.misbi'li:f]
misbelieve [.misbi'li:v]
misbeliever [.misbi'li:və]
miscalculate [.mis'kælkjʋleit]
miscalculation [.miskælkjʋ'leiʃ°n]
miscarriage [mis'kæriʤ]
miscarry [mis'kæri]
miscellanea [.misi'leiniə]
miscellaneous [.misə'leiniəs]
miscellany [mi'seləni]
mischance [.mis'ʧa:ns]
mischief ['misʧif]
mischief-maker ['misʧif.meikə]
mischievous ['misʧivəs]
miscibility [.misi'biləti]
miscible ['misib°l]
miscitation [.missai'teiʃ°n]
misconceive [.miskən'si:v]
misconception [.miskən'sepʃ°n]
misconduct I n [.mis'kɒndʌkt]
misconstruction [.miskən'strʌkʃ°n]
misconstrue [.miskən'stru:]
miscount [.mis'kaʋnt]
miscreant ['miskriənt]
misdate [.mis'deit]
misdeal [.mis'di:l]
misdealing [.mis'di:liŋ]
misdealt [.mis'delt]
misdeed [.mis'di:d]
misdeem [.mis'di:m]
misdemeanour [.misdi'mi:nə]
misdirect [.misda°'rekt]
misdirection [.misdə'rekʃ°n]
misdoing [.mis'du:iŋ]
misdoubt [mis'daʋt]
miseducation [.misedjʋ'keiʃ°n]
misemployment [.misim'plɔimənt]
miser ['maizə]
miserable ['mizərəb°l]
miserably ['mizərəbli]
miserere [.mizə'reəri]
misericord [mi'zerikɔ:d]
miserliness ['maizəlinəs]
miserly ['maizəli]
misery ['mizəri]
misfeasance [.mis'fi:zəns]
misfire [.mis'faiə]
misfit ['misfit]
misfortune [mis'fɔ:ʧ°n]
misgave [mis'geiv]
misgive [mis'giv]
misgiven [mis'giv°n]
misgiving [mis'giviŋ]
misgovern [.mis'gʌv°n]
misgovernment [.mis'gʌvənmənt]
misguidance [mis'gaid°ns]
misguide [mis'gaid]
mishandle [.mis'hænd°l]
mishap ['mishæp]
mishear [.mis'hiə]
misheard [.mis'hз:d]
mishmash ['miʃmæʃ]
misinform [.misin'fɔ:m]
misinformation [.misinfə'meiʃ°n]
misinterpret [.misin'tз:prit]
misinterpretation [.misintз:pri'tei-ʃ°n]
misjudg(e)ment [mis'ʤʌʤmənt]
misjudge [.mis'ʤʌʤ]
miskick [mis'kik]
mislaid [mis'leid]
mislay [mis'lei]
mislead [mis'li:d]
mismanage [.mis'mæniʤ]
mismanagement [.mis'mæniʤmənt]
mismarriage [.mis'mæriʤ]
mismisadventure [.misəd'venʧə]
misname [.mis'neim]
misnomer [.mis'nəʋmə]
misogamy [mi'sɒgəmi]
misogyny [mi'sɒʤəni]
misoperation [.misɒpə'reiʃ°n]
misperception [.mispə'sepʃ°n]
mispersuasion [.mispə'sweiʒ°n]
misplace [.mis'pleis]
misprint ['misprint]
misprision ['mispriz°n]
misprize [.mis'praiz]
mispronounce [.misprə'naʋns]
mispronunciation [.misprənʌnsi'ei-ʃ°n]
misquotation [.miskwəʋ'teiʃ°n]
misquote [.mis'kwəʋt]
misread [.mis'ri:d]
misrepresent [.misrepri'zent]
misrepresentation [.misreprizen'-teiʃ°n]
misrule [.mis'ru:l]
missal [mis°l]
misshapen [.mis'ʃeipən]
missile ['misail]
missing ['misiŋ]
mission [miʃ°n]
missionary ['miʃ°n°ri]
missish ['misiʃ]
missive ['misiv]
misspell [.mis'spel]
misspend [.mis'spend]
misstate [.mis'steit]
misstatement [.mis'steitmənt]
misstep [.mis'step]
mist [mist]
mistake [mi'steik]
mistaken [mi'steikən]
mistakenly [mi'steikənli]
mister ['mistə]
mistful ['mistf°l]
mistime [.mis'taim]
mistook [mi'stʋk]
mistral ['mistrəl]
mistreat [.mis'tri:t]
mistreatment [.mis'tri:tmənt]
mistress ['mistrəs]
mistrial [.mis'traiəl]
mistrust [.mis'trɑst]
mistrustful [.mis'trʌstf°l]
misty ['misti]
misunderstand [.misʌndə'stænd]
misunderstanding [.misʌndə'stændiŋ]
misunderstood [.misʌndə'stʋd]
misuse ['mis'ju:s]
mitigate ['mitigeit]
mitigation [.miti'geiʃ°n]
mitigatory ['miti.geitəri]
mitt [mit]
mitten [mit°n]
mix [miks]
mix-in ['miksin]
mix-up ['miksʌp]
mixed up [mikst ʌp]
mixed [mikst]
mixer ['miksə]
mixture ['miksʧə]
mnemonic [ni'mɒnik]
mnemonics [ni'mɒniks]
mo [məʋ]
moan [məʋn]
moat [məʋt]
mob cap ['mɒbkæp]
mob [mɒb]
mobile phone ['məʋbail fəʋn]
mobile ['məʋbail]
mobility [məʋ'biləti]
mobilization [.məʋbəlai'zeiʃ°n]
mobilize ['məʋbəlaiz]
mobsman ['mɒbzmən]
mobster ['mɒbstə]
mocha ['mɒkə]
mock [mɒk]
mock-up ['mɒkʌp]
mockery ['mɒkəri]
mockingbird ['mɒkiŋbз:d]
mod [mɒd]
modal [məʋd°l]
modality [məʋ'dæləti]
mode [məʋd]
model [mɒd°l]
modeller ['mɒd°lə]
modelling ['mɒd°liŋ]
modem ['məʋdem]
moderate ['mɒdərət]
moderation [.mɒdə'reiʃ°n]
moderato [.mɒdə'ra:təʋ]
moderator ['mɒdəreitə]
modern [mɒdə(r)n]
modernism ['mɒdəniz°m]
modernist ['mɒdənist]
modernistic [.mɒdə'nistik]
modernity [mɒ'dз:nəti]
modernize ['mɒdənaiz]
modest ['mɒdist]
modesty ['mɒdəsti]
modi ['məʋdai]
modicum ['mɒdikəm]
modifiable ['mɒdifaiəb°l]
modification [.mɒdifi'keiʃ°n]
modificatory ['mɒdifikeitəri]
modifier ['mɒdi.faiə]
modify ['mɒdifai]
modish ['məʋdiʃ]
modiste [məʋ'di:st]
mods [mɒʤ]
modular ['mɒdjʋlə]
modularity [.mɒdjʋ'lærəti]
modularization [.mɒdjʋlərai'zeiʃ°n]
modulate ['mɒdjʋleit]
modulation [.mɒdjʋ'leiʃ°n]
modulator ['mɒdjʋleitə]
module ['mɒdju:l]
moduli ['mɒdjʋlai]
modulus ['mɒdjʋləs]
modus ['məʋdəs]
mogul [məʋg°l]
mohair ['məʋ.heə]
Mohammed [məʋ'hæmid]
